Number Energy PSNR
935 7.5541566 15.6414
936 7.298147 21.8433
937 7.1199634 15.8459
938 7.107325 13.6709
939 7.0759706 14.9152
940 7.0710386 16.2167
941 8.1073128 14.1986
942 8.1056098 11.127
943 7.8370264 10.678
944 7.6074726 11.9085
945 7.2578376 13.3667
946 7.1991966 15.6473
947 7.1988746 13.6391
948 7.1906314 12.8759
949 7.0755662 13.9246
950 7.3778342 14.7373
951 8.9505086 18.2068
952 8.7989644 12.662
953 8.9024554 11.6279
954 9.18873 13.1251
955 9.0713468 15.5236
956 7.8917066 22.0376
957 7.679994 15.804
958 7.6215968 14.6868
959 7.3918806 16.0163
960 7.1820464 18.4835
961 8.8917398 21.218
962 8.952921 13.3122
963 8.6747036 12.1594
964 8.4788576 13.1461
965 8.2465236 15.8074
966 8.0334758 24.2508
967 7.6932218 15.7895
968 7.4462324 14.7964
969 7.3836464 16.6023
970 7.129512 20.4156
971 9.278411 18.323
972 9.2828068 12.8047
973 8.7155186 11.9804
974 8.6188356 12.0905
975 8.1770956 13.9547
976 8.083565 17.7178
977 7.57626 13.8475
978 7.54242 13.2835
979 7.343595 15.1826
980 7.0021806 16.8009
981 8.999365 17.5693
982 8.8198046 12.4935
983 8.7000764 11.7184
984 8.5798978 13.1315
985 8.158238 15.5185
986 8.8204456 21.8336
987 7.958582 15.8148
988 7.5147384 14.672
989 7.488804 16.0077
990 7.2033 18.4158
991 8.9467508 13.9134
992 8.6893098 11.1233
993 8.5877118 10.2843
994 8.6229554 11.7917
995 8.2367066 13.4137
996 7.6878664 15.4759
997 7.5362008 13.7077
998 7.3373174 13.3343
999 7.2992944 14.3541
1000 7.0894458 15.3453
1001 7.121627 15.5163
1002 7.0768724 11.7566
1003 6.7512684 10.2787
1004 6.4407586 11.4176
1005 6.534487 12.4872
1006 6.4366944 14.5304
1007 5.798624 13.0024
1008 5.5728942 12.6864
1009 5.5848236 13.5669
1010 5.0990386 14.3732
1011 7.2077154 19.322
1012 6.9223026 12.9705
1013 6.9690356 11.4457
1014 6.7849692 12.6498
1015 6.522075 14.5683
1016 6.5124366 19.4122
1017 6.4655276 14.878
1018 6.3949132 14.0934
1019 5.557014 15.5688
1020 5.5738642 17.5575
1021 7.9863348 24.4367
1022 7.4948242 13.9015
1023 6.9328176 12.3545
1024 6.7341126 12.9352
1025 6.6685504 15.4434
1026 6.4933498 24.9103
1027 6.4488604 15.5707
1028 6.3681844 14.319
1029 5.531226 16.0985
1030 5.3402932 20.32
1031 7.0543472 22.1684
1032 6.9256928 13.7394
1033 6.9748838 12.407
1034 6.4396734 11.4183
1035 6.5501084 12.5061
1036 6.4090226 14.4886
1037 5.554766 13.0341
1038 5.350216 12.7409
1039 5.31114 13.5922
1040 5.2302206 14.4431
1041 7.2077324 11.932
1042 6.9756674 0
1043 6.5695162 0
1044 6.4518164 0
1045 6.484434 10.0542
1046 6.460001 10.7538
1047 6.22723 0
1048 5.4675112 10.2227
1049 5.4234624 10.6609
1050 5.181408 11.1067
1051 7.1159078 15.5061
1052 7.001803 11.7598
1053 7.4631968 10.2919
1054 6.4599258 11.361
1055 6.5201508 12.4428
1056 6.707227 14.5047
1057 6.3009082 13.0272
1058 5.8315302 12.6819
1059 5.3954328 13.5769
1060 5.1113228 14.3587
1061 7.2301802 19.3686
1062 7.081346 12.9831
1063 7.069443 11.4327
1064 6.6682552 12.6364
1065 6.5545346 14.5805
1066 6.4766936 19.4078
1067 6.4418972 14.918
1068 6.3585702 14.0945
1069 5.5540704 15.5472
1070 5.5740348 17.1801
1071 7.1681354 24.4058
1072 7.0289628 13.9139
1073 7.0069048 12.3648
1074 6.7058496 12.9283
1075 6.5371688 15.4372
1076 6.5304752 24.8933
1077 6.5985372 15.5783
1078 7.1565908 14.3108
1079 5.5163606 16.1011
1080 5.5531958 20.2465
1081 7.6154546 22.2786
1082 6.995596 13.7414
1083 6.9657948 12.4176
1084 6.4643954 11.4256
1085 6.493787 12.4397
1086 6.4277698 14.5294
1087 5.7301216 12.9621
1088 5.52569 12.6796
1089 5.5633358 13.6185
1090 5.2879678 14.4753
1091 8.0821552 11.9549
1092 7.4527356 0
1093 6.5717456 0
1094 6.4548008 0
